League,Degree,whyplay,Age,GAD_T
Platinum,High School,improving,18,7
Gold,None,having fun,18,1
Platinum,High School,winning,22,11
Gold,High School,relaxing,20,7
Diamond,High School,improving,20,1
Silver,None,improving,18,7
Gold,High School,winning,21,21
Platinum,High School,improving,21,1
Silver,High School,improving,18,4
Platinum,High School,improving,18,5
Silver,High School,improving,19,7
Silver,High School,relaxing,23,7
Platinum,High School,having fun,19,5
Silver,Bachelor,having fun,30,1
Diamond,High School,improving,18,7
Gold,High School,improving,19,4
Gold,High School,having fun,18,15
Diamond,High School,improving,25,5
Diamond,None,improving,18,2
Gold,High School,improving,22,3
Silver,High School,having fun,21,6
Gold,High School,improving,19,3
Platinum,High School,improving,18,8
Gold,Bachelor,winning,27,2
Unranked,High School,having fun,22,0
Silver,High School,improving,18,5
Platinum,High School,winning,19,2
Gold,High School,having fun,23,1
Platinum,Bachelor,having fun,22,5
Gold,Bachelor,having fun,24,1
Gold,Bachelor,relaxing,24,0
Gold,High School,improving,19,7
Gold,High School,improving,20,3
Silver,Bachelor,winning,24,13
Platinum,Bachelor,improving,21,4
Unranked,Bachelor,having fun,23,18
Diamond,High School,winning,21,9
Diamond,None,improving,18,3
Diamond,None,having fun,18,5
Silver,Bachelor,having fun,21,8
Diamond,None,improving,18,4
Bronze,Bachelor,winning,25,21
Diamond,None,improving,18,1
Gold,High School,improving,18,0
Platinum,Bachelor,improving,24,11
Platinum,High School,improving,18,1
Silver,High School,winning,19,2
Platinum,High School,having fun,18,0
Gold,None,having fun,18,20
Silver,Bachelor,improving,25,1
Gold,High School,having fun,19,2
Platinum,High School,improving,24,5
Platinum,High School,improving,19,3
Platinum,Bachelor,having fun,20,1
Silver,High School,improving,21,3
Platinum,Bachelor,winning,22,21
Unranked,None,having fun,18,4
Gold,Bachelor,improving,26,3
Silver,Bachelor,improving,18,2
Gold,High School,winning,19,2
Platinum,None,winning,18,9
Gold,High School,having fun,20,3
Diamond,High School,winning,20,4
Gold,High School,having fun,22,9
Bronze,High School,relaxing,18,4
Diamond,None,improving,18,0
Gold,High School,winning,19,1
Bronze,High School,relaxing,18,4
Silver,None,improving,28,11
Silver,High School,relaxing,21,7
Silver,High School,having fun,19,9
Bronze,High School,having fun,21,11
Silver,Bachelor,winning,27,0
Silver,High School,relaxing,18,5
Platinum,Bachelor,improving,24,1
Platinum,Bachelor,having fun,29,3
Silver,High School,having fun,19,5
Diamond,Bachelor,improving,21,7
Gold,Bachelor,relaxing,21,3
Gold,High School,improving,18,18
Silver,Bachelor,having fun,23,1
Gold,High School,winning,28,9
Platinum,High School,improving,25,3
Silver,High School,having fun,19,10
Silver,High School,having fun,20,6
Silver,High School,improving,18,5
Unranked,High School,having fun,24,0
Silver,None,having fun,18,0
Gold,High School,having fun,19,4
Silver,Bachelor,having fun,22,3
Diamond,Bachelor,having fun,21,1
Platinum,High School,improving,20,3
Platinum,Bachelor,improving,20,3
Platinum,High School,relaxing,23,8
Gold,High School,having fun,21,1
Silver,High School,winning,23,10
Gold,High School,improving,29,5
Silver,Bachelor,having fun,22,3
Silver,High School,having fun,28,5
Diamond,None,improving,24,3
Gold,Bachelor,having fun,21,7
Gold,High School,improving,18,0
Bronze,High School,improving,26,2
Platinum,None,having fun,19,2
Platinum,High School,improving,21,4
Silver,High School,having fun,19,4
Gold,High School,having fun,21,1
Gold,High School,having fun,22,6
Platinum,High School,improving,19,9
Platinum,Bachelor,having fun,22,1
Gold,High School,winning,21,7
Gold,High School,improving,22,2
Platinum,None,improving,18,6
Bronze,Bachelor,improving,21,1
Gold,High School,improving,27,3
Gold,High School,improving,20,4
Unranked,Bachelor,having fun,23,10
Gold,High School,having fun,23,1
Diamond,Bachelor,improving,26,4
Platinum,High School,winning,18,6
Platinum,High School,improving,19,4
Platinum,High School,improving,18,3
Platinum,Bachelor,winning,22,9
Silver,None,having fun,18,8
Silver,High School,having fun,19,3
Diamond,Bachelor,improving,23,2
Platinum,Bachelor,having fun,27,5
Gold,High School,having fun,20,4
Gold,High School,having fun,19,1
Platinum,None,having fun,19,1
Diamond,High School,improving,18,21
Diamond,High School,improving,20,1
Platinum,None,improving,18,21
Silver,Bachelor,having fun,21,1
Silver,High School,improving,22,2
Silver,High School,improving,20,2
Silver,None,winning,19,5
Gold,Bachelor,relaxing,25,7
Gold,Doctor,winning,23,4
Silver,High School,improving,19,16
Silver,None,having fun,18,3
Gold,High School,improving,20,7
Silver,High School,having fun,22,13
Silver,High School,having fun,18,15
Platinum,High School,improving,20,1
Silver,High School,winning,18,2
Platinum,High School,improving,20,5
Gold,High School,improving,22,1
Diamond,Bachelor,winning,26,6
Platinum,High School,having fun,18,3
Platinum,Bachelor,having fun,20,1
Silver,High School,winning,23,3
Platinum,Bachelor,improving,23,3
Platinum,High School,winning,22,3
Gold,Doctor,having fun,18,7
Unranked,Bachelor,having fun,22,4
Silver,High School,improving,20,5
Silver,High School,improving,21,14
Gold,None,winning,18,2
Platinum,High School,winning,18,11
Platinum,None,improving,24,6
Silver,High School,winning,18,13
Gold,None,having fun,18,13
Silver,High School,having fun,18,12
Diamond,Bachelor,improving,23,3
Gold,High School,winning,20,8
Platinum,None,winning,21,6
Platinum,High School,improving,18,11
Silver,Bachelor,improving,25,9
Platinum,High School,winning,21,2
Silver,Bachelor,having fun,25,3
Gold,High School,having fun,20,3
Platinum,High School,improving,20,9
Silver,High School,improving,18,0
Gold,Bachelor,improving,22,8
Platinum,Bachelor,improving,23,0
Gold,High School,relaxing,22,2
Platinum,High School,having fun,18,2
Gold,None,winning,18,5
Gold,Bachelor,improving,25,5
Gold,High School,having fun,20,5
Gold,High School,having fun,18,2
Gold,Bachelor,having fun,41,8
Gold,High School,improving,22,2
Gold,High School,winning,19,5
Unranked,Bachelor,having fun,27,1
Gold,High School,improving,18,4
Silver,High School,having fun,19,10
Platinum,High School,having fun,24,14
Bronze,None,having fun,18,0
Gold,Bachelor,winning,23,8
Diamond,Bachelor,having fun,22,1
Platinum,High School,winning,22,10
Diamond,High School,having fun,22,0
Silver,Master,having fun,24,0
Unranked,None,having fun,18,0
Gold,Bachelor,having fun,19,1
Gold,High School,improving,19,6
Platinum,None,having fun,18,2
Gold,None,improving,18,3
Bronze,High School,improving,18,6
Silver,Bachelor,improving,25,7
Silver,Bachelor,having fun,27,0
Platinum,High School,improving,21,4
Gold,High School,relaxing,23,5
Bronze,None,improving,22,1
Gold,High School,improving,23,13
Silver,High School,having fun,18,3
Gold,High School,having fun,20,4
Diamond,Bachelor,improving,25,2
Gold,High School,winning,21,2
Silver,High School,improving,18,3
Silver,Bachelor,having fun,23,8
Platinum,High School,having fun,19,8
Bronze,High School,having fun,18,2
Platinum,High School,having fun,18,9
Silver,High School,improving,23,10
Gold,None,relaxing,19,0
Gold,High School,winning,18,4
Gold,High School,improving,18,1
Platinum,High School,having fun,22,4
Platinum,High School,improving,18,4
Silver,None,having fun,18,0
Platinum,High School,improving,20,12
Silver,None,having fun,18,2
Bronze,Master,improving,20,3
Silver,Bachelor,having fun,21,5
Silver,High School,winning,25,0
Diamond,High School,improving,20,5
Gold,Bachelor,relaxing,22,6
Gold,High School,winning,20,4
Silver,High School,improving,19,3
Diamond,High School,having fun,23,8
Silver,High School,having fun,23,1
Silver,High School,improving,18,0
Gold,High School,having fun,21,6
Silver,High School,winning,19,4
Diamond,High School,improving,19,4
Platinum,None,having fun,18,1
Gold,Master,having fun,29,2
Gold,High School,winning,18,1
Gold,None,winning,18,3
Platinum,Bachelor,having fun,21,0
Gold,None,improving,18,9
Platinum,Master,relaxing,24,0
Gold,High School,having fun,24,9
Diamond,High School,improving,20,2
Gold,High School,having fun,18,18
Platinum,High School,having fun,19,8
Diamond,High School,improving,18,13
Gold,High School,having fun,23,3
Platinum,High School,improving,19,9
Platinum,High School,having fun,18,0
Platinum,High School,having fun,19,3
Gold,High School,winning,18,15
Diamond,High School,improving,20,4
Silver,None,improving,19,3
Bronze,High School,having fun,20,2
Platinum,High School,improving,19,7
Diamond,High School,winning,20,12
Gold,Bachelor,having fun,20,7
Gold,Bachelor,relaxing,21,9
Platinum,High School,improving,20,1
Gold,High School,relaxing,18,1
Diamond,High School,having fun,19,5
Platinum,High School,improving,20,15
Gold,Bachelor,improving,21,0
Diamond,High School,improving,21,3
Gold,High School,having fun,22,0
Bronze,High School,winning,18,7
Silver,High School,improving,20,3
Gold,Bachelor,winning,22,2
Platinum,None,having fun,19,0
Gold,High School,winning,19,4
Silver,High School,having fun,18,4
Silver,None,improving,18,11
Gold,None,winning,18,2
Gold,None,winning,18,2
Platinum,High School,winning,18,5
Platinum,High School,having fun,18,1
Silver,High School,improving,18,1
Gold,High School,improving,19,2
Silver,High School,having fun,18,20
Diamond,High School,winning,19,1
Bronze,High School,having fun,18,5
Diamond,None,improving,18,2
Gold,High School,having fun,21,12
Platinum,Bachelor,having fun,22,2
Gold,High School,improving,19,3
Platinum,Bachelor,having fun,20,4
Bronze,High School,having fun,21,0
Silver,High School,improving,21,3
Silver,High School,having fun,21,3
Unranked,High School,improving,18,3
Platinum,High School,improving,21,6
Silver,Bachelor,improving,18,13
Platinum,High School,improving,19,5
Diamond,High School,having fun,19,2
Gold,High School,having fun,22,6
Bronze,None,improving,18,14
Platinum,High School,improving,18,3
Silver,High School,having fun,20,2
Gold,None,having fun,18,4
Silver,High School,improving,19,0
Diamond,High School,having fun,23,2
Platinum,High School,having fun,20,3
Silver,High School,having fun,20,4
Gold,High School,improving,20,7
Gold,Bachelor,having fun,27,6
Gold,Bachelor,having fun,20,1
Gold,High School,improving,21,1
Diamond,High School,improving,18,4
Diamond,High School,improving,19,2
Diamond,Bachelor,improving,27,4
Gold,Bachelor,having fun,28,2
Gold,High School,winning,20,2
Gold,Bachelor,having fun,22,7
Unranked,None,improving,18,7
Diamond,High School,improving,20,8
Platinum,High School,improving,18,17
Gold,High School,having fun,20,4
Gold,High School,improving,21,0
Platinum,None,improving,18,12
Platinum,High School,winning,18,8
Platinum,High School,improving,21,2
Silver,High School,having fun,18,2
Bronze,High School,improving,33,2
Silver,None,having fun,18,1
Diamond,None,improving,18,1
Gold,High School,having fun,18,11
Gold,High School,winning,22,5
Silver,High School,having fun,18,1
Gold,High School,winning,19,8
Gold,High School,improving,23,9
Platinum,Master,winning,23,18
Gold,High School,relaxing,18,2
Bronze,High School,improving,22,2
Silver,High School,having fun,25,4
Platinum,High School,having fun,20,3
Diamond,Bachelor,winning,25,0
Silver,High School,improving,22,6
Silver,High School,improving,26,7
Gold,High School,having fun,21,2
Platinum,High School,winning,23,1
Gold,High School,having fun,18,1
Diamond,Master,winning,20,11
Silver,Bachelor,having fun,30,12
Silver,High School,having fun,18,6
Unranked,None,having fun,18,2
Silver,None,having fun,18,6
Gold,High School,improving,19,3
Platinum,High School,improving,19,6
Gold,High School,having fun,21,5
Diamond,High School,improving,21,2
Gold,High School,having fun,20,8
Gold,High School,having fun,18,1
Gold,High School,having fun,18,7
Gold,None,improving,18,4
Platinum,High School,having fun,18,4
Silver,High School,improving,21,15
Bronze,Bachelor,having fun,26,1
Gold,High School,having fun,19,3
Gold,Bachelor,having fun,27,7
Diamond,High School,having fun,20,11
Gold,High School,having fun,18,1
Platinum,Bachelor,having fun,21,2
Platinum,High School,improving,19,5
Platinum,High School,improving,22,11
Gold,High School,having fun,19,5
Silver,None,having fun,19,0
Platinum,High School,improving,21,4
Gold,Master,having fun,23,0
Gold,High School,having fun,21,9
Platinum,High School,winning,19,2
Diamond,None,improving,18,6
Gold,Bachelor,having fun,21,2
Silver,High School,having fun,18,10
Gold,Bachelor,having fun,22,5
Diamond,None,improving,21,5
Gold,High School,improving,20,8
Platinum,None,having fun,18,12
Gold,High School,improving,21,8
Gold,High School,improving,22,6
Gold,High School,having fun,18,14
Bronze,High School,having fun,19,6
Silver,High School,improving,18,1
Platinum,High School,improving,18,1
Gold,Bachelor,winning,21,4
Platinum,High School,improving,20,12
Bronze,High School,improving,19,21
Platinum,High School,improving,18,4
Gold,High School,having fun,19,1
Silver,High School,improving,19,2
Diamond,High School,having fun,19,11
Diamond,High School,improving,23,2
Gold,High School,improving,24,10
Gold,High School,improving,18,5
Bronze,High School,improving,18,3
Silver,Bachelor,having fun,21,5
Silver,Bachelor,improving,22,2
Gold,High School,having fun,18,12
Gold,High School,improving,20,6
Platinum,High School,winning,18,7
Gold,High School,having fun,20,17
Silver,High School,having fun,18,0
Gold,Bachelor,having fun,22,1
Gold,High School,improving,24,2
Platinum,High School,relaxing,18,13
Silver,High School,winning,21,1
Gold,Bachelor,improving,20,4
Platinum,High School,improving,22,16
Gold,Bachelor,improving,23,1
Platinum,High School,improving,18,9
Silver,High School,improving,19,1
Platinum,High School,winning,19,16
Platinum,High School,having fun,20,0
Silver,High School,improving,22,17
Gold,Master,having fun,23,1
Bronze,High School,having fun,21,7
Silver,None,winning,18,9
Silver,High School,improving,19,5
Gold,High School,improving,19,5
Gold,High School,having fun,21,3
Silver,None,improving,18,1
Silver,High School,improving,21,4
Gold,Bachelor,improving,24,0
Gold,Bachelor,having fun,21,6
Gold,High School,improving,19,1
Gold,High School,improving,21,10
Platinum,High School,improving,23,11
Silver,None,improving,18,7
Gold,High School,having fun,19,15
Gold,High School,relaxing,18,2
Silver,High School,having fun,25,3
Diamond,High School,having fun,20,3
Gold,High School,improving,20,6
Platinum,High School,improving,20,8
Diamond,High School,improving,22,9
Silver,High School,having fun,20,7
Silver,High School,improving,31,10
Silver,High School,improving,18,8
Gold,Doctor,having fun,23,1
Platinum,High School,improving,19,2
Gold,High School,improving,18,5
Gold,High School,having fun,23,8
Platinum,None,improving,18,10
Diamond,None,improving,18,3
Platinum,Bachelor,having fun,24,4
Diamond,High School,having fun,20,3
Platinum,High School,relaxing,18,0
Gold,High School,having fun,19,3
Bronze,Bachelor,improving,26,4
Gold,None,having fun,18,0
Platinum,None,improving,18,11
Platinum,High School,having fun,19,1
Gold,None,having fun,18,0
Bronze,High School,improving,20,2
Gold,High School,improving,19,2
Silver,High School,improving,18,11
Gold,High School,improving,18,3
Diamond,None,winning,18,8
Platinum,High School,having fun,18,3
Diamond,High School,winning,22,1
Platinum,None,having fun,18,7
Gold,High School,improving,20,14
Gold,High School,winning,20,1
Bronze,High School,having fun,21,5
Gold,None,having fun,18,3
Gold,Bachelor,having fun,24,15
Silver,High School,having fun,22,2
Silver,High School,having fun,21,1
Silver,High School,having fun,18,1
Silver,High School,improving,20,9
Silver,None,having fun,18,4
Silver,Bachelor,having fun,18,10
Diamond,High School,having fun,19,3
Diamond,High School,improving,18,3
Platinum,Bachelor,having fun,22,3
Platinum,High School,improving,19,8
Platinum,None,improving,18,17
Silver,Bachelor,having fun,19,2
Gold,High School,having fun,21,12
Gold,High School,having fun,20,10
Gold,High School,having fun,23,2
Platinum,Master,having fun,25,6
Platinum,High School,winning,18,10
Unranked,High School,having fun,21,0
Platinum,Bachelor,winning,24,5
Unranked,None,having fun,19,3
Gold,High School,winning,19,8
Platinum,High School,improving,20,6
Platinum,High School,improving,18,1
Platinum,High School,improving,20,0
Platinum,High School,having fun,19,4
Unranked,High School,having fun,24,6
Platinum,Bachelor,winning,18,14
Silver,High School,having fun,27,2
Unranked,Bachelor,having fun,24,0
Gold,Bachelor,winning,19,16
Silver,High School,improving,23,10
Silver,None,having fun,18,4
Gold,High School,having fun,18,0
Gold,High School,having fun,20,6
Gold,High School,having fun,19,2
Silver,None,having fun,18,9
Silver,Bachelor,having fun,23,15
Silver,High School,improving,18,9
Silver,High School,having fun,24,1
Platinum,High School,having fun,21,4
Silver,Bachelor,relaxing,21,6
Platinum,High School,improving,20,6
Silver,None,winning,18,3
Platinum,High School,winning,18,2
Diamond,None,improving,20,7
Gold,High School,having fun,19,4
Gold,Master,improving,28,1
Diamond,High School,improving,22,9
Platinum,High School,winning,22,14
Platinum,High School,improving,18,3
Bronze,High School,having fun,20,8
Platinum,High School,improving,23,10
Diamond,High School,winning,20,8
Diamond,High School,winning,18,19
Platinum,High School,winning,18,5
Platinum,High School,having fun,19,1
Diamond,None,winning,18,6
Diamond,High School,improving,22,9
Bronze,Bachelor,improving,24,4
Platinum,High School,improving,19,1
Silver,High School,having fun,18,11
Bronze,High School,improving,18,2
Diamond,High School,having fun,18,14
Platinum,High School,improving,20,11
Unranked,Bachelor,having fun,23,2
Platinum,High School,having fun,26,8
Platinum,High School,winning,19,8
Unranked,None,improving,21,5
Gold,Bachelor,winning,19,1
Gold,High School,having fun,21,12
Diamond,High School,improving,20,3
Gold,High School,having fun,19,1
Platinum,High School,improving,18,3
Gold,Bachelor,having fun,21,6
Platinum,High School,having fun,19,3
Silver,High School,having fun,22,3
Gold,High School,winning,18,9
Gold,High School,having fun,19,1
Platinum,High School,improving,20,7
Silver,High School,winning,20,13
Gold,Bachelor,improving,21,0
Silver,Bachelor,improving,22,1
Silver,High School,improving,20,8
Silver,Bachelor,having fun,23,9
Gold,Bachelor,having fun,18,3
Silver,High School,having fun,21,8
Diamond,None,winning,18,3
Diamond,High School,improving,21,2
Gold,Bachelor,having fun,18,9
Gold,None,winning,18,4
Platinum,High School,having fun,19,0
Diamond,High School,improving,21,17
Platinum,High School,having fun,19,6
Gold,High School,improving,18,0
Gold,High School,improving,21,3
Silver,High School,having fun,19,8
Gold,High School,improving,21,7
Gold,High School,having fun,19,2
Gold,High School,improving,21,2
Gold,None,improving,18,3
Platinum,High School,winning,21,4
Gold,Bachelor,having fun,23,1
Silver,Master,improving,25,4
Gold,Bachelor,having fun,22,14
Platinum,High School,improving,19,0
Gold,Bachelor,improving,23,5
Silver,Bachelor,improving,21,1
Silver,High School,having fun,21,2
Silver,None,having fun,19,1
Gold,High School,winning,19,4
Gold,High School,improving,19,6
Gold,High School,improving,19,2
Diamond,Bachelor,improving,25,0
Gold,None,improving,18,3
Gold,Master,having fun,22,10
Platinum,High School,improving,20,4
Silver,Bachelor,improving,20,4
Silver,High School,having fun,19,1
Platinum,Doctor,improving,29,0
Bronze,High School,improving,22,6
Silver,Bachelor,having fun,18,1
Silver,High School,winning,23,3
Platinum,High School,winning,21,7
Gold,High School,improving,20,2
Silver,None,having fun,24,2
Gold,High School,having fun,25,4
Gold,High School,improving,18,9
Silver,High School,having fun,21,0
Diamond,Bachelor,improving,21,2
Gold,None,relaxing,23,11
Diamond,High School,relaxing,20,0
Gold,High School,having fun,21,4
Platinum,High School,improving,19,6
Silver,High School,winning,20,7
Silver,High School,improving,23,7
Diamond,High School,improving,23,11
Platinum,High School,improving,19,1
Gold,Bachelor,improving,21,5
Unranked,High School,improving,21,17
Silver,Master,having fun,22,9
Gold,High School,having fun,19,3
Silver,High School,having fun,21,3
Diamond,Bachelor,improving,27,13
Platinum,High School,winning,19,17
Gold,None,having fun,18,2
Silver,High School,having fun,19,5
Platinum,High School,improving,24,5
Silver,None,improving,18,4
Diamond,High School,winning,20,12
Platinum,Master,winning,24,4
Gold,High School,winning,18,3
Bronze,Bachelor,improving,27,0
Unranked,High School,having fun,18,3
Platinum,High School,improving,22,4
Silver,High School,having fun,20,2
Diamond,High School,having fun,19,0
Gold,High School,having fun,21,0
Platinum,None,having fun,19,10
Platinum,High School,improving,24,1
Silver,Bachelor,having fun,32,3
Platinum,High School,having fun,19,2
Silver,High School,relaxing,18,4
Diamond,High School,having fun,19,1
Unranked,Bachelor,having fun,27,1
Diamond,High School,improving,22,6
Platinum,None,improving,18,4
Silver,Bachelor,improving,23,4
Platinum,High School,having fun,21,5
Platinum,None,having fun,24,2
Platinum,High School,having fun,21,5
Diamond,None,improving,19,9
Diamond,None,having fun,19,4
Gold,High School,winning,20,1
Gold,High School,improving,18,7
Diamond,High School,improving,18,0
Gold,High School,improving,21,2
Bronze,High School,improving,20,3
Gold,High School,winning,22,2
Diamond,High School,relaxing,19,1
Diamond,None,improving,18,8
Silver,High School,having fun,20,4
Diamond,High School,having fun,21,9
Silver,High School,improving,22,2
Bronze,Bachelor,improving,23,1
Silver,Bachelor,having fun,21,3
Gold,High School,having fun,21,5
Silver,High School,improving,18,9
Silver,Bachelor,improving,24,3
Gold,High School,having fun,18,4
Silver,High School,having fun,21,9
Diamond,High School,winning,21,1
Gold,High School,improving,24,2
Gold,Bachelor,improving,25,2
Diamond,None,winning,18,2
Gold,High School,relaxing,21,0
Platinum,High School,winning,22,13
Gold,High School,having fun,19,4
Gold,High School,winning,19,3
Gold,High School,having fun,21,3
Platinum,High School,winning,21,2
Platinum,High School,having fun,21,3
Gold,High School,improving,20,0
Gold,High School,having fun,19,5
Gold,High School,winning,18,3
Platinum,High School,relaxing,23,8
Gold,High School,having fun,19,4
Diamond,High School,having fun,18,1
Gold,None,improving,18,1
Gold,High School,winning,18,2
Diamond,High School,having fun,19,0
Bronze,None,improving,18,0
Silver,Bachelor,improving,21,6
Silver,Bachelor,winning,19,8
Gold,High School,having fun,20,1
Gold,High School,improving,18,2
Silver,Bachelor,having fun,22,5
Platinum,None,improving,18,3
Gold,High School,having fun,18,3
Gold,None,having fun,20,6
Platinum,Bachelor,improving,23,4
Silver,Bachelor,having fun,23,2
Platinum,High School,having fun,18,2
Diamond,High School,improving,20,21
Platinum,High School,having fun,20,1
Platinum,High School,winning,23,7
Diamond,High School,improving,21,7
Platinum,High School,improving,20,4
Platinum,High School,improving,18,21
Silver,High School,relaxing,20,1
Gold,High School,having fun,29,1
Platinum,Bachelor,having fun,21,2
Platinum,High School,improving,19,6
Gold,High School,winning,19,2
Gold,High School,winning,21,9
Diamond,High School,winning,18,2
Diamond,High School,improving,18,6
Gold,High School,winning,20,11
Gold,High School,having fun,19,1
Gold,High School,having fun,18,16
Gold,Master,having fun,25,6
Platinum,High School,winning,19,19
Silver,High School,improving,19,12
Gold,High School,improving,22,8
Diamond,High School,winning,18,3
Gold,High School,having fun,21,4
Silver,None,improving,18,6
Silver,Master,having fun,27,4
Silver,Bachelor,having fun,23,1
Unranked,High School,having fun,20,2
Gold,High School,improving,18,15
Unranked,High School,having fun,21,3
Diamond,High School,winning,18,14
Gold,High School,having fun,20,2
Gold,High School,having fun,20,3
Gold,High School,improving,19,4
Diamond,Bachelor,winning,20,5
Gold,Bachelor,winning,22,2
Gold,None,improving,18,3
Bronze,High School,improving,19,4
Bronze,High School,having fun,22,0
Gold,High School,winning,19,10
Bronze,High School,improving,18,15
Platinum,High School,having fun,20,3
Gold,None,improving,18,11
Silver,None,winning,18,2
Silver,Bachelor,improving,24,2
Gold,High School,winning,18,2
Gold,High School,having fun,21,7
Gold,High School,having fun,21,4
Platinum,None,improving,18,1
Gold,High School,improving,22,4
Platinum,None,improving,19,6
Platinum,Bachelor,winning,24,2
Silver,None,having fun,18,0
Diamond,High School,winning,22,1
Platinum,High School,improving,20,0
Platinum,High School,having fun,19,7
Platinum,Bachelor,having fun,28,0
Diamond,High School,winning,18,0
Diamond,High School,improving,18,5
Platinum,Bachelor,improving,26,8
Gold,Bachelor,improving,24,3
Bronze,High School,having fun,18,0
Platinum,High School,winning,19,8
Gold,High School,improving,19,3
Gold,High School,having fun,26,9
Gold,High School,having fun,23,4
Gold,High School,having fun,22,6
Platinum,Bachelor,winning,22,1
Diamond,High School,improving,21,6
Gold,High School,having fun,18,5
Unranked,High School,improving,19,13
Silver,High School,improving,19,6
Diamond,Bachelor,improving,23,9
Gold,High School,winning,18,10
Platinum,High School,winning,18,1
Silver,None,improving,18,4
Gold,High School,winning,21,1
Platinum,High School,winning,18,0
Diamond,Bachelor,improving,22,17
Platinum,Bachelor,having fun,19,1
Platinum,Master,improving,22,0
Silver,High School,having fun,18,8
Gold,High School,relaxing,19,8
Platinum,Master,having fun,28,2
Diamond,High School,improving,21,10
Unranked,High School,having fun,27,1
Gold,Bachelor,having fun,24,5
Silver,High School,improving,19,5
Bronze,High School,improving,18,6
Platinum,None,having fun,18,4
Bronze,Bachelor,having fun,24,2
Gold,None,having fun,28,1
Gold,High School,having fun,18,2
Platinum,High School,improving,19,9
Diamond,High School,having fun,19,1
Platinum,High School,improving,19,6
Unranked,High School,having fun,20,7
Platinum,None,improving,18,3
Silver,High School,relaxing,25,8
Platinum,Master,having fun,18,10
Gold,High School,having fun,24,0
Gold,High School,winning,22,11
Gold,High School,improving,20,5
Gold,High School,improving,21,4
Diamond,High School,having fun,18,2
Gold,High School,improving,18,6
Silver,High School,improving,18,4
Platinum,High School,improving,21,4
Silver,High School,winning,18,14
Platinum,Bachelor,winning,22,3
Silver,High School,having fun,19,3
Platinum,High School,having fun,19,3
Silver,Bachelor,improving,19,4
Bronze,High School,having fun,21,7
Silver,High School,winning,18,10
Platinum,High School,winning,18,5
Diamond,Bachelor,improving,21,2
Diamond,None,improving,18,5
Diamond,High School,improving,21,2
Unranked,Bachelor,relaxing,26,2
Silver,High School,having fun,19,6
Platinum,Bachelor,having fun,21,6
Silver,High School,having fun,19,1
Gold,None,having fun,18,3
Diamond,None,improving,18,2
Silver,None,having fun,18,19
Platinum,Bachelor,having fun,24,0
Silver,High School,having fun,20,9
Silver,High School,relaxing,19,0
Silver,High School,winning,26,9
Platinum,High School,improving,18,11
Diamond,High School,winning,19,7
Silver,High School,having fun,18,0
Gold,High School,winning,19,0
Bronze,High School,improving,24,0
Diamond,High School,improving,20,4
Silver,High School,having fun,20,2
Gold,High School,having fun,18,6
Platinum,High School,improving,21,8
Bronze,High School,having fun,28,6
Gold,High School,having fun,19,4
Platinum,High School,having fun,19,4
Gold,Bachelor,improving,21,1
Diamond,High School,improving,19,6
Diamond,High School,having fun,18,3
Gold,High School,relaxing,20,0
Gold,High School,improving,23,5
Silver,Bachelor,improving,29,13
Bronze,None,improving,18,2
Gold,High School,having fun,20,4
Bronze,High School,relaxing,25,4
Gold,High School,winning,18,5
Diamond,Bachelor,relaxing,27,15
Gold,High School,having fun,19,7
Platinum,High School,winning,23,6
Bronze,Bachelor,having fun,21,1
Silver,High School,improving,18,2
Platinum,Master,improving,26,2
Diamond,High School,having fun,23,4
Gold,High School,having fun,23,4
Platinum,High School,having fun,20,1
Silver,High School,improving,18,7
Gold,High School,improving,18,6
Diamond,High School,improving,19,6
Diamond,None,relaxing,20,3
Silver,High School,improving,20,7
Silver,High School,having fun,19,5
Platinum,High School,improving,18,4
Bronze,None,improving,18,9
Silver,Bachelor,having fun,25,5
Silver,High School,relaxing,22,4
Diamond,High School,improving,22,7
Gold,High School,having fun,18,16
Gold,High School,improving,18,14
Gold,High School,winning,22,3
Silver,High School,winning,24,21
Diamond,High School,having fun,19,2
Silver,High School,having fun,18,4
Gold,Doctor,having fun,21,1
Gold,High School,having fun,18,5
Gold,High School,improving,22,4
Gold,High School,having fun,20,3
Gold,High School,improving,20,2
Unranked,Bachelor,winning,20,2
Gold,Bachelor,having fun,22,4
Platinum,High School,relaxing,18,9
Gold,High School,winning,26,21
Diamond,Bachelor,improving,31,5
Unranked,High School,having fun,18,0
Platinum,High School,winning,22,8
Silver,High School,having fun,18,0
Silver,Doctor,having fun,25,2
Silver,High School,having fun,20,5
Gold,High School,improving,22,10
Diamond,Bachelor,winning,30,1
Platinum,Bachelor,having fun,21,2
Platinum,High School,improving,19,1
Silver,Bachelor,improving,24,6
Platinum,High School,improving,18,9
Silver,High School,having fun,18,4
Platinum,High School,improving,19,7
Silver,None,improving,18,5
Platinum,High School,having fun,23,1
Gold,High School,having fun,21,8
Platinum,High School,improving,18,5
Silver,None,winning,18,3
Silver,High School,improving,26,9
Diamond,Bachelor,having fun,18,1
Platinum,High School,having fun,18,2
Platinum,High School,having fun,18,2
Gold,High School,improving,19,1
Platinum,High School,having fun,18,4
Silver,High School,winning,19,4
Silver,Bachelor,winning,21,13
Platinum,High School,improving,19,1
Gold,Bachelor,winning,24,7
Gold,None,having fun,18,4
Silver,None,improving,18,8
Gold,High School,having fun,20,2
